OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
123,Gary Priess Memorial Highway,US-127,250.1068,"That portion of highway US-127 beginning at the border between Ingham county and Clinton County and extending north to the Price Road exit in Clinton County shall be named the ""Gary Priess Memorial Highway"".",250-1068,"Gary Priess, a Dewitt Township police officer killed in the line of duty; the 94th Infantry Division, a World War II unit first activated for service at Fort Custer, Michigan; and all American veterans. Officer Priess was a Dewitt Township police officer whose car was struck by a semi-truck while he conducted a traffic stop. He served for 18 years on the Dewitt Township force and was a much-loved member of the community: Nearly 1,000 people attended his funeral. He was a husband and father of two children. In response to his death and others like it, a law was enacted last year to protect police officers and other emergency workers who work on the shoulders of busy roadways.                                                               ",{B82E7049-9021-41FE-B884-3069DA93B2C5}
124,Eric Zapata Memorial Highway,I-94,250.1069,"The portion of highway I-94 located in Kalamazoo County shall be known as the ""Officer Eric Zapata Memorial Highway"".",250-1069,"Officer Eric Zapata was a Public Safety Officer with the Kalamazoo Department of Public Safety (KDPS), where he served for 10 years. According to news media accounts, Officer Zapata was killed in an onduty incident on April 18, 2011. Evidently, a 911 call reported shots fired in Kalamazoo's downtown area. Another officer responded and, upon finding a hostile gunman, exchanged shots. Officer Zapata soon arrived and joined attempts to subdue the shooter. While pursuing the shooter, Officer Zapata was shot twice and killed. He was the first KDPS officer killed in the line of duty.",{DF6E49EA-BEB5-4353-8305-53D96815AC69}
125,Oscar G. Johnson Memorial Highway,M-69,250.1072,"The portion of highway M-69 beginning at the intersection of highway M-69 and US-2 in Delta County and continuing northwest through Menominee County to the intersection of M-69 and M-95 in Dickinson County shall be known as the ""Oscar G. Johnson Memorial Highway"".",250-1072,"During World War II, 463 soldiers earned the
Congressional Medal of Honor, the highest honor the United States gives for heroism and bravery above and beyond the call of duty in combat action. One of the recipients--indeed, the Upper Peninsula of Michigan’s only recipient, according to committee testimony--was Oscar G. Johnson, then a private in the U. S. Army. Private Johnson’s heroism on September 16-18, 1944 was extraordinary. While serving as a mortar gunner and rifleman in the fight for Monticelli Ridge in the Apennines Mountains of northern Italy (near Scarperia), Johnson protected the left flank of his company’s position against five German paratrooper companies, and repelled six enemy attacks. He killed at least 20 enemy soldiers, was credited with capturing 25 others, and helped rescue two fellow soldiers during a two-day siege. ",{687CADD7-E02C-439E-B4EF-B4C8482F8B0B}
126,Purple Heart Trail,I-69,250.1074[1],"That part of highway I-69 in Branch county shall be known as the ""Purple Heart Trail"".",250-1074[1],"The Purple Heart is a United States military decoration awarded in the name of the president to those wounded or killed while serving on or after April 5, 1917, with the U.S. military.",{740F1C26-BC17-4314-A66C-FDB7BAE52D81}
127,Veterans Memorial Highway,US-10,250.1075,"That portion of highway US-10 in Mason County beginning at the city of Scottville and continuing west to the city of Ludington shall be named the ""Veterans Memorial Highway"".",250-1075,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{00F5677B-0EC5-4AD8-A127-5F49A7C09C27}
128,Elgie G. Hanna Memorial Highway,M-188,250.1077,"Highway M-188 in Eaton county shall be known as the ""Elgie G. Hanna Memorial Highway"".",250-1077,"The Veterans of Foreign Wars (VFW) National Home for Children is located in Eaton Rapids, Michigan. Only one former resident of the home, Elgie Hanna, was killed in action during the Vietnam war. Having graduated from Eaton Rapids High School in 1968, he went on to serve his country in the U.S. Army and was deployed to Vietnam, where he died less than a month later. ",{212408A3-34F7-41B8-A341-7D954F2380C5}
129,Trooper Paul K. Butterfield II Memorial Highway,M-116,250.1081,"The portion of highway M-116 in Mason county beginning at the Lincoln river and continuing north to the Big Sable river shall be known as the ""Trooper Paul K. Butterfield, II Memorial Highway"".",250-1081,"Trooper Paul Butterfield was a U.S. Army veteran and had served with the Michigan State Police for 14 years. Trooper Butterfield was shot and killed while making a traffic stop on Custer Road, near Townline Road, in Mason County, at approximately 6:20 pm on September 9, 2013. A few minutes after calling in the stop, a citizen called 911 to report a trooper had been shot. Responding units located Trooper Butterfield on the ground suffering from a gunshot wound to the head. He was flown to Munson Medical Center where he succumbed to his wounds while in surgery. He is survived by his fiancée and his father.",{E6710119-E9DD-4D8E-93CD-13CD50C14416}
130,Kevin Sherwood Memorial Highway,US-127,250.1082,"The portion of highway US-127 in Clare County shall be known as the ""Kevin Sherwood Memorial Highway"".",250-1082,"On October 9, 2003, Clare County Sheriff’s Deputy Kevin Sherwood was responding to a 9-1-1 call about a drunk driver traveling the wrong direction on US-127, when the driver hit his patrol car head-on, killing him. Deputy Sherwood was a nine-year veteran of the Sheriff’s Department and the first Clare County deputy to be killed in the line of duty.He left behind a wife and three daughters, for
whom he was the sole provider. ",{4BE543CF-A806-4336-83A0-B0659318F10A}
131,Korean War Veterans Memorial Highway,M-82,250.1085,"That portion of highway M-82 beginning at the city of Newaygo in Newaygo County and extending east to Howard City in Montcalm County shall be named the ""Korean War Veterans Memorial Highway"".",250-1085,"It is fitting that the State recognize the almost 1.8 million American veterans who served in Korea at great personal cost. In designating public works in the memory of veterans, the State keeps citizens mindful about the horrors of war, and the importance of an unrelenting effort to seek peaceful solutions to global problems. This portion of M-82 is the first to memorialize this group of veterans.",{CAE10921-37B4-45D7-8214-4645394C68D4}
132,102nd United States Colored Troops (U.S.C.T.) Memorial Highway,I-375,250.109,"The portion of highway I-375 that is within Wayne County shall be known as the ""102nd United States Colored Troops (U.S.C.T.) Memorial Highway"".",250-109,The 102nd Regiment United States Colored Troops was an African American infantry unit of the Union Army during the American Civil War. The unit was organized as the 1st Michigan Colored Volunteer Infantry Regiment before being re-designated as the 102nd Regiment USCT.,{2529448E-7C85-44DA-9CEA-D6774175870C}
133,Clare County Veterans Memorial Highway,US-10,250.1091,"The portion of highway US-10 in Clare County shall be known as the ""Clare County Veterans Memorial Highway"".",250-1091,Named in honor of United States military veterans with a special connection to Clare County.,{95AE762C-99EB-4FDD-B46F-0A90FD4D24ED}
134,10th Mountain Division Highway,US-24,250.1092,"Highway US-24 in Wayne County shall be known as the ""10th Mountain Division Memorial Highway"".",250-1092,"The 10th Mountain Division (Light Infantry) is a light infantry division in the United States Army based at Fort Drum, New York. Designated as a mountain warfare unit, the division is the only one of its size in the US military to receive intense specialized training for fighting in mountainous and arctic conditions.",{26B65DAF-42E2-409C-953C-4D704C288E57}
135,Joseph Prentler Memorial Highway,M-57,250.1096,"The portion of highway M-57 that is within Montcalm county shall be known as the ""Joseph Prentler Memorial Highway"".",250-1096,"Specialist Joseph T. Prentler died October 4, 2010 in Mama Kariz, Afghanistan, of wounds suffered when insurgents attacked his military vehicle using an improvised explosive device. He was assigned to the 3rd Squadron, 2nd Stryker Cavalry Regiment, Vilseck, Germany.  The twenty-year-old was supporting Operation Enduring Freedom and had not been deployed very long. The military presented Prentler’s parents with his Bronze Star and Purple Heart awards, and gold combat spurs from the U.S. Cavalry. He served in the 3rd Squadron, 2nd Stryker Cavalry Regiment. He earned other medals, including his combat infantry award given posthumously.",{F73031DC-CDEE-490F-9ACA-0D92755A9324}
136,AMVETS Memorial Scenic Drive,M-46,250.1097,"Highway M-46 from the intersection of M-24 and M-46 in Tuscola County and continuing east to the intersection of M-53 and M-46 in Sanilac County shall be known as the ""AMVETS Memorial Scenic Drive"".",250-1097,"AMVETS (American Veterans) is the nation’s most inclusive Congressionally-chartered veterans service organization, representing the interests of 20 million veterans. AMVETS is open to and fighting for all who honorably served in the United States military, including the Reserve and Guard, with more than 250,000 members nationwide.",{21B7B604-8046-4256-9EC2-8B90365B3655}
137,Rosa Parks Memorial Highway,I-96,250.1098,"Highway I-96 in Wayne County from the intersection of I-96 and I-75 and continuing west to the intersection of I-96 and US-24 shall be known as the ""Rosa Parks Memorial Highway"".",250-1098,"Rosa Louise McCauley ""Parks"", (born February 4, 1913, Tuskegee, Alabama, U.S.—died October 24, 2005, Detroit, Michigan), African American civil rights activist whose refusal to relinquish her seat on a public bus to a white man precipitated the 1955–56 Montgomery bus boycott in Alabama, which is recognized as the spark that ignited the U.S. civil rights movement.",{092BE5F0-8733-4BD6-90D1-B9F2F7E354D7}
138,Officer Trevor Slot Memorial Highway,I-96,250.2061,"The portion of highway I-96 from the intersection with Fruit Ridge avenue in the city of Walker and extending west to the intersection with 16th avenue in Ottawa county shall be known as the ""Officer Trevor Slot Memorial Highway"".",250-2061,"Officer Trevor Slot was a Police Officer with the Walker Police Department, where he served for 9 years. According to news media accounts, Officer Slot was killed in an on-duty incident on October 13, 2011. Officer Slot was struck and killed by a bank robbery suspect while attempting to deploy stop sticks on I-96 at 8th Avenue. The two suspects had robbed a bank in Ravenna, Michigan, and were fleeing the area when they were spotted by on-duty FBI agents who happened to be in the area. The agents initiated a pursuit and were quickly joined by officers from several state and local agencies. The pursuit continued along I-96 at speeds over 100 mph as the suspects opened fire on the pursuing units with a shotgun and rifle. As the vehicle approached the 8th Avenue exit, Officer Slot attempted to deploy stop sticks but was fatally struck by the vehicle. The vehicle crashed moments later, and the two suspects were shot and killed as they opened fire on other officers.",{CFA8A936-54CB-4AB1-86E6-7FD653B1400A}
139,Trooper Rick L. Johnson Memorial Freeway,I-94,250.2063,"The portion of highway I-94 in Van Buren county shall be known as the ""Trooper Rick L. Johnson Memorial Freeway"".",250-2063,"Trooper Rick L. Johnson died as a result of injuries sustained when he was struck by a vehicle while conducting a traffic stop on I-94 in Van Buren County on May 6, 2000. Born on January 16, 1965, Trooper Johnson was the 48th Michigan State Police officer to die in the line of duty.",{96B23A70-AB24-48E9-B224-E4E681C9B2C1}
140,Mark V. Ingram II Freeway,M-21,250.2069,"Highway M-21 beginning at the intersection of M-21 and I-75 in Genesee county and continuing east to the intersection of M-21 and I-475 shall be known as the ""Mark V. Ingram II Freeway"".",250-2069,"Mark V. Ingram II is a former running back for the University of Alabama, where he won the 2009 Heisman Trophy. He grew up in Flint, Michigan, and attended high school at Southwestern Academy, where he was ranked as the 17th best athlete in the nation and the 6th best athlete in Michigan by Rivals.com, according to information on the University of Alabama website. Ingram received a number of honors and awards after the Alabama Crimson Tide won its 13 th National Football Championship in 2009. ",{265E75AD-2F1D-4D2C-A7C4-08082A3971B1}
141,Medal of Honor Recipients Highway,US-31,250.2072,"Highway US-31 beginning at the intersection of highway US-31 and highway I-196 in Allegan county and continuing north to the intersection of highway US-31 and highway M-45 in Ottawa county shall be known as the ""Medal of Honor Recipients Highway"".",250-2072,"The Highway recognizes Medal of Honor Recipients Lieutenant Colonel Matt Urban, Corporal John Essebagger, Jr., Sergeant Paul Ronald Lambers, and Sergeant Gorgon Yntema.",{696757A5-2A26-4D9D-9BB4-D9BD1E4DE642}
142,William Davidson Memorial Highway,M-24,250.2078,"Highway M-24 within the city limits of Auburn Hills in Oakland county shall be known as the ""William Davidson Memorial Highway"".",250-2078,"Mr. Davidson was the president and chairman of Guardian Industries, one of the world's largest glass manufacturers, and he owned several professional sports teams, including the Detroit Pistons, Detroit Shock, and Tampa Bay Lightning, as well as Palace Sports and Entertainment. Bill Davidson also donated millions of dollars to various charitable and educational causes, including more than $55 million to his alma mater, the University of Michigan. He was recognized by former Israeli Prime Minister Golda Meir for outstanding philanthropic deeds toward Israel and honored by the Council of Michigan Foundations for his local, national, and international contributions. ",{1634A122-6CBB-40F1-87C6-8F3E34AA6257}
143,George Edward (Ted) Seman Memorial Highway,US-10,250.1088,"Highway US-10 in the city of Evart in Osceola county beginning at the intersection of US-10 and River street and continuing west to the intersection of US-10 and 95th street shall be known as the ""George Edward (Ted) Seman Memorial Highway"".",250-1088,"George Edward Seman was the Chief of Police in the City of Evert, Michigan. On June 13, 1966, he was killed on duty while responding to a family dispute. Chief Seman arrested one individual, who then assaulted the officer in his patrol car, shooting him with his own weapon and stabbing him several times. Chief Seman was 36 years old, married with three children.",{12F9B598-8F5A-4C69-BB66-9A8A6B887227}
144,"Hazen Shirley 'Kiki"" Cuyler Memorial Highway",US-10,250.1088,"Highway US-10 in the city of Evart in Osceola county beginning at the intersection of US-10 and River street and continuing west to the intersection of US-10 and 95th street shall be known as the ""George Edward (Ted) Seman Memorial Highway"".",250-1088,"Hazen Shirley Cuyler was a right fielder from Harrisville, Michigan, who played major league baseball from 1921 to 1938. He began playing for the Pittsburg Pirates, but also played for the Chicago Cubs, the Cincinnati Reds, and the Brooklyn Dodgers. Over the course of his career, he held several records for stolen bases, triples, and runs scored. Hazen also drove in the winning run in the 1925 World Series. He is ranked number 44 among the best right fielders of all time, and was inducted into the Baseball Hall of Fame in 1968. He died in Ann Arbor, Michigan in 1950.",{1C508FA2-B582-4B33-8E53-B331D43598CF}
145,Violet T. Lewis Memorial Highway,M-10,250.1036a,"The portion of highway M-10 located in the city of Detroit between the intersection with Meyers Road and the intersection with West Outer Drive shall be known as the ""Violet T. Lewis Memorial Highway"".",250-1036a,"Violet Temple Lewis was born in Lima, Ohio, on May 27, 1889. She founded the Lewis Business College in Indianapolis, Indiana, in 1927 before opening Detroit's Lewis Business College, which is the United States Department of Education's only designated historical black college in Michigan. She also co-founded Gamma Phi Delta, a professional and businesswomen's sorority with chapters located across the United States, and was inducted in the Michigan Women's Hall of Fame in 1992. Ms. Lewis died on March 22, 1968, in Detroit. ",{63ADB2F8-FDA3-408C-9679-A52C3549E376}
146,PFC Nicholas H. Blodgett Memorial Highway,US-131,250.1003b,"(3) The portion of highway US-131 in the city of Wyoming between exits 78 and 79 shall be known as the ""SPC Eric T. Burri Memorial Highway"".",250-1003b,"Army Specialist Eric T. Burri was killed at age 21 on June 7, 2005, when an IED detonated near his vehicle in Baghdad, Iraq. He was from Wyoming Michigan, and graduated from Kelloggsville High School in 2003. He was assigned to the 623rd Quartermaster Company, 1st Corps Support Command, based at Fort Bragg, North Carolina. On September 11, 2008, the 824th Quartermaster Company dedicated building number 8124 on Joint Base Balad (now Balad Air Base) as the ""Eric Burri Rigging Facility"". ",{B9D0A075-6C76-4168-90F5-1A9629596835}
147,CPL Ross A. Smith Memorial Highway,US-131,250.1003b,"(2) The portion of highway US-131 in the city of Wyoming between exits 79 and 80 shall be known as the ""CPL Ross A. Smith Memorial Highway"".",250-1003b,"On February 9, 2006, Marine Corporal Ross A. Smith, age 21, was killed by an IED while conducting combat operations near Fallujah, Iraq. A native of Wyoming, Michigan, he enlisted in the United States Marine Corp before graduating from Wyoming Park High School in 2002. He was assigned to the 3rd Battalion, 5th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, California, and attached to the 2nd Marine Division, II Marine Expeditionary Force (Forward). ",{9CD250D6-FDAE-4041-926F-4964AB73AA03}
148,Deputy Eric Overall Memorial Highway,M-15,250.1068,"The portion of highway M-15 beginning at the intersection of highway M-15 and highway I-75 in Oakland County and extending north to the county line of Oakland and Genesee counties shall be known as the ""Deputy Eic Overall Memorial Highway"".",250-1068,"Deputy Eric Overall, of Oakland County, was killed on November 23, 2017, Thanksgiving morning, while trying to stop a suspect during a police chase. He was a 22-year veteran of the Oakland County Sheriff's office and was 50 years old when he was killed. The deadly chase began in a jail parking lot in Lapeer County. Deputy Overall had gotten out of his car to place tire-deflating stop sticks on the road and end the pursuit. However, the suspect deliberately hit Deputy Overall when he encountered the stop stick emplacements. ",{DD01EACD-8477-4471-B5B7-849055DBF386}
149,Gunnery Sgt. Daniel Price Memorial Highway,I-196,250.1029a,"The portion of highway I-196 in the city of Holland shall be known as the ""Gunnery Sgt. Daniel Price Memorial Highway"".",250-1029a,"Gunnery Sergeant Daniel J. Price, of Holland, Michigan, was killed in action while conducting combat operations in Badghis province in Afghanistan on July 29, 2012. He had entered the Marine Corps in July of 2003, and was assigned to 1st Marine Special Operation Battalion, United States Marine Corps Forces Special Operations Command. He served six combat tours, three in Afghanistan and three in Iraq, and received a Bronze Star, a Purple Heart, a Navy and Marine Achievement Medal, three Good Conduct Medals, and three Combat Action Ribbons. ",{7F7333C4-3811-40EB-802A-2A5B7B566E65}
150,Trooper Craig A. Scott Memorial Highway,US-127,250.1004c,"The portion of highway US-127 beginning at exit 56 in Ingham County and extending south to the Jackson County line shall be knowns as the ""Trooper Craig A. Scott Memorial Highway"".",250-1004c,"According to committee testimony and the Michigan State Police Fallen Trooper Memorial, on February 9, 1982, Trooper Craig A. Scott was working traffic patrol on      US-127 just south of the Ingham/Jackson County line when he observed a red 1974 Camaro speeding northbound. Trooper Scott gave pursuit and stopped the car south of Leslie, Michigan. He approached the driver to ask for his driver’s license and vehicle papers. The driver produced a Michigan identification card but no papers for the Camaro. (The driver and his front seat passenger had stolen the car in Ann Arbor four days earlier.) After receiving the identification, Trooper Scott attempted to file-check the driver but could not contact the post on his radio. He recontacted the driver, placed him under arrest, took him from the car, and handcuffed him. While placing the driver in the patrol car, Trooper Scott left his back exposed to the Camaro. The front seat passenger exited the vehicle and shot Trooper Scott three times with a .38-caliber revolver from a distance of three to four feet. Trooper Scott died from his injuries. He was 28 years old. Trooper Craig A. Scott had served with the Michigan State Police for four years and had previously served as Military Police in the United States Army for three years. He was the thirty-fifth Michigan State Police officer to die in the line of duty. Dedicating a portion of Highway US-127 would be an appropriate way to honor his commitment, his service, and his sacrifice to the citizens of Michigan. ",{AA1CF3C3-9123-49E6-802B-BFE7E5BB10D0}
151,Det. Sgt. Christopher M. Wouters Memorial Highway,M-53,250.1030a,"The portion of highway M-53 in Macomb County beginning at the intersection with 14 Mile Road and extending south to the intersection with 8 Mile Road shall be known as the ""Det. Sgt. Christopher M. Wouters Memorial Highway"".",250-1030a,"According to committee testimony and the Warren Police Officer’s Association, on October 11, 2000, an individual was arrested by undercover officers for a narcotics violation. Two patrol officers transported the suspect to jail. Once at the jail, the suspect was searched and a Velcro holster was found in his waist. A short time later Detective Wouters arrived to interview the suspect and was informed that a holster was found on him. When the officers instructed the suspect to stand for a more thorough search, the suspect pulled a handgun from his pants and started running from the area. One of the officers jumped on the suspect from behind, and as Detective Wouters arrived to assist the officer, he was shot. The suspect struggled with the other officer, and the gun discharged, killing the suspect instantly. Detective Wouters was transported to a local hospital, where he died of his injuries 45 minutes later. He was posthumously promoted to the rank of sergeant. Detective Sergeant Wouters had been with the Warren Police Department for 19 years.  In 2001 the Fraternal Order of Police Lodge, to which he belonged, was re-chartered as the Christopher M. Wouters Lodge. In 2008, the City of Warren officially named the Warren Police Headquarters the Christopher M. Wouters Police Headquarters Building.  Dedicating a portion of highway M-53 in Macomb County would be an appropriate way to honor his life, his service, and his sacrifice for the citizens of Warren, Macomb County, and the State of Michigan. ",{B6A0C1C7-02E8-4DE3-8D31-39B202335A31}
152,Chief Petty Officer Jason Freiwald Memorial Highway,M-53,250.1021b,"The portion of highway M-53 in Macomb County between 31 Mile Road and 32 Mile Road shall be known as the ""Chief Petty Officer Jason Freiwald Memorial Highway"".",250-1021b,"Chief Petty Officer Jason Freiwald was born in Utica, Michigan. He graduated from Armada High School and enlisted in the Navy on April 25, 1996. He eventually graduated from the Navy and Marine Corps Intelligence Training Center, Dam Neck, Virginia, and then reported to Basic Underwater Demolition/SEAL Training. After graduating from Basic Underwater Demolition/SEAL Training, he completed Basic Airborne School in Fort Benning, Georgia.  He served on SEAL Team 5 for two years at Naval Amphibious Base, Coronado, California, and then on SEAL Team 3 at the same location. During this time, he completed numerous qualifications to prepare him for combat, including sniper training, Arabic, and tactical rock climbing, among others. Chief Petty Officer Freiwald distinguished himself during deployments in Operation Iraqi Freedom. In March 2005, he transferred from SEAL Team 3 to the demanding selection and training of the Naval Special Warfare Tactical Development and Evaluation program. On September 12, 2008, Chief Petty Officer Freiwald sustained fatal injuries while conducting a top-secret combat operation in Afghanistan. According to testimony before the House Transportation Committee, he was the lead breach on the team, and sustained his injuries after entering the compound and engaging in battle. He was 30 years old. Freiwald was a highly decorated SEAL combat veteran; his decorations included the Bronze Star; Joint Service Commendation Medal; two Navy and Marine Corps Commendation medals; the Navy and Marine Corps Achievement medal; the Combat Action ribbon, and numerous personal, unit, and campaign medals. ",{5A63660A-2260-4A61-8850-913860C5FBE9}
153,Staff Sergeant Duane J. Dreasky Memorial Highway,M-5,250.2081,"The part of highway M-5 between the intersection with 13 Mile Road and the intersection with 14 mile in the city of Novi shall be known as the ""Staff Sergeant Duane J. Dreasky Memorial Highway"".",250-2081,"Sergeant Duane J. Dreasky of Novi, Michigan, died on July 10, 2006, in San Antonio, Texas, after succumbing to injuries suffered in Iraq. Sergeant Dreasky was riding in a Humvee near al-Habbaniyah, Iraq, on November 21, 2005, when an improvised explosive device was detonated nearby. He was the last survivor of the five-man Humvee unit and suffered heavy burns across his body. Sergeant Dreasky attended Walled Lake Western High School, where he played football. He joined the Army National Guard in June 2003.",{9DB6725C-E20D-4835-B2DF-124620353748}
154,Trooper Craig A. Scott Memorial Highway,US-127,250.1004c,"The portion of highway US-127 beginning at exit 56 in Ingham County and extending south to the Jackson County line shall be knowns as the ""Trooper Craig A. Scott Memorial Highway"".",250-1004c,"According to committee testimony and the Michigan State Police Fallen Trooper Memorial, on February 9, 1982, Trooper Craig A. Scott was working traffic patrol on      US-127 just south of the Ingham/Jackson County line when he observed a red 1974 Camaro speeding northbound. Trooper Scott gave pursuit and stopped the car south of Leslie, Michigan. He approached the driver to ask for his driver’s license and vehicle papers. The driver produced a Michigan identification card but no papers for the Camaro. (The driver and his front seat passenger had stolen the car in Ann Arbor four days earlier.) After receiving the identification, Trooper Scott attempted to file-check the driver but could not contact the post on his radio. He recontacted the driver, placed him under arrest, took him from the car, and handcuffed him. While placing the driver in the patrol car, Trooper Scott left his back exposed to the Camaro. The front seat passenger exited the vehicle and shot Trooper Scott three times with a .38-caliber revolver from a distance of three to four feet. Trooper Scott died from his injuries. He was 28 years old. Trooper Craig A. Scott had served with the Michigan State Police for four years and had previously served as Military Police in the United States Army for three years. He was the thirty-fifth Michigan State Police officer to die in the line of duty. Dedicating a portion of Highway US-127 would be an appropriate way to honor his commitment, his service, and his sacrifice to the citizens of Michigan. ",{45ABD50C-12A6-418E-B1D7-D728EED30E71}
157,Michigan State Trooper Timothy O'Neill Memorial Highway,M-44,250.1021a,"The portion of highway M-44 in Kent County beginning at the intersection of highway M-44 and Rogue River Road and extending northeast to the intersection of highway M-44 and Belding Road shall be known as the ""Michigan State Trooper Timothy O'Neill Memorial Highway"".",250-1021a,"Trooper Timothy O’Neill was born in Royal Oak on November 11, 1988. He was a 2007 graduate of Lapeer East High School and graduated from Western Michigan University. Trooper O’Neill was part of the 126th Trooper Recruit School and joined the Michigan State Police in 2014. He loved animals, had a great sense of humor, and especially enjoyed spending time with family and friends and making them laugh. On the morning of September 20, 2017, Trooper Timothy O’Neill was on patrol near the intersection of Wolverine Boulevard NE and Belding Road NE, in Plainfield Township. According to news reports, a driver in a pickup truck and Trooper O’Neill were traveling south on Wolverine when the crash occurred. The traffic signal for southbound traffic was changing to red. The pickup truck stopped. Trooper O’Neill did not stop but attempted to avoid a crash. His motorcycle struck the rear driver’s side of the pickup truck, crashed into a curb in the median, and continued into the left lane of northbound Wolverine Boulevard. Trooper O’Neill died of his injuries. He was 28 years of age, a three-year state police veteran who had worked in the Rockford post since he joined in 2014. Dedicating a portion of Highway M-44 to Trooper Timothy O’Neill would be an appropriate was to honor his service and sacrifice to the citizens of Kent County and the State of Michigan.",{9EDE0DCA-8BD3-416F-8FBD-7C0694F67ACF}
159,PFC Alan Robert Blohm Memorial Hwy,M-13,250.1018a[1],"The portion of highway M-13 in Kawkawlin township shall be known as the ""PFC Alan Robert Blohm Memorial Highway"".",250-1018a,"PFC Alan Robert Blohm died at the age of 21 on December 31, 2006, after being wounded during his deployment in Iraq. He attended and graduated from Bay City Western High School. PFC Blohm joined the United States Army in September 2005 while living in Alaska. He was deployed to Iraq on October 1, 2006, as a member of the 425th Brigade Special Troops Battalion, 4th Airborne Brigade Combat Team, 25th Infantry Division, and was stationed near Baghdad. ",{ED6CA0AC-54C2-4431-BE26-2AF6FC89F310}
166,Corrections Officers Jack Budd and Josephine McCallum Memorial Highway,I-94,250.1018a,"The portion of higway I-94 in Jackson County between exit 139 and exit 141 shall be known as the ""Corrections Officers Jack Budd and Josephine McCallum Memorial Highway"".",250-1018a,"On March 24, 1987 Josephine McCallum, a rookie corrections officer at the State Prison of Southern Michigan in Jackson, was found raped, strangled, and beaten to death in an auditorium stairwell. Although there were no staff witnesses, evidence pointed to a single attacker who was later found guilty of committing the crime. Corrections Officer Jack Budd was stabbed to death on December 27, 1987, also at the State Prison of Southern Michigan, by a prisoner being escorted to the ground-floor shower stall. The prisoner broke free and attacked an officer escorting him. He then ran down the cell block, where he found and stabbed Jack Budd with a homemade weapon. Despite his injuries, Budd helped to subdue the prisoner. He was taken to a local hospital, where he died an hour later. Budd’s and McCallum’s deaths lead to sweeping changes within the Michigan Department of Corrections. Advanced training, increased staffing, revised inmate discipline, and the breakup of the Jackson Central Complex into several smaller prisons were among the changes. Dedicating a portion of highway I-94 to both officers recognizes their sacrifice and honors their commitment to the mission, vision, and values of the Michigan Department of Corrections.",{9ECB1B8A-7913-426A-980B-C24FA45FA221}
167,Sergeant Collin Rose Memorial Highway,M-10,250.1010a,"The portion of highway M-10 Wayne county between highway I-94 and Grand River Avenue shall be known as the ""Sergeant Collin Rose Memorial Highway"".",250-1010a,"Sergeant Collin Rose was a Wayne State University police officer and canine handler who died at the age of 29 in Detroit on November 23, 2016, after sustaining a gunshot wound to the head the previous day. Rose was patrolling a neighborhood adjacent to Wayne State where there had been recent thefts when he attempted to stop a bicyclist. Before making contact with the cyclist, he called for backup. When the additional officers arrived, they found Rose after he had been shot and immediately took him to the hospital. The cyclist was located and charged with the crime, but the charges were later dropped. Subsequently, another suspect was tied to the murder.  Rose grew up near Kalamazoo, attended Gull Lake High School, and interned for the Richland Village Police. Following his graduation in 2006, he attended Ferris State. He worked as a cadet at the New Baltimore Police Department before joining the Wayne State University Police Department. Rose was awarded the Citation of Valor, the highest honor issued by the Department. The University President also announced the creation of a $25,000 scholarship in Rose's name. ",{93D824BD-648C-4F78-9734-D5EC57833E90}
168,Purple Heart Trail,M-15,250.1020b,"The portion of highway M-15 within the village of Ortonville shall be known as the ""Purple Heart Trail"".",,"According to the United States Department of Defense, the Purple Heart is America's oldest military award. It is presented to soldiers who are wounded by enemy combatants. The award originated as a merit badge given to soldiers by George Washington that recognized their heroic deeds. Its modern design was created by Elizabeth Will and features a profile image of Washington. ",{EC72D09B-F56C-4908-9162-E333E375012E}
1203,Marine Sergeant Michael P. Hodshire Memorial Highway,M-49,250.1101,"The bill would amend the Michigan Memorial Highway Act to designate the portion of Highway M-49 between W. Montgomery Road and Austin Road in Camden Township in Hillsdale County as the ""Marine Sergeant Michael P. Hodshire Memorial Highway"".",250-1101,"Sergeant Michael P. Hodshire was born in Montpelier, Ohio on September 5, 1980. His family later moved to Michigan and he graduated from North Adams-Jerome High School in 1999. Four days later he entered basic training. He was deployed in Iraq from October 2003 to June 2004, then redeployed in 2005. During his second deployment, Sgt. Hodshire served as 2nd Squad Leader for 3rd Platoon, Easy Company, 2nd Battalion, 2 nd Marine Regiment. On October 30, 2005, Sergeant Hodshire died of fatal wounds he received the day before from an improvised explosive device during combat operations near Nasser Wa Salaam, Iraq.",{54C9BF47-E14A-4F5F-BEB4-4F3B52C1D2A3}
